CompanyName,SalesPerson,Phone,PasswordHash,PasswordSalt,ModifiedDate
Scooters and Bikes Store,adventure-works\pamela0,810-555-0198,tTeR7tEh6XEQtr0WQ2eXrHrqjsOt2mdihjWZ3c4q50s=,IrqLpXQ=,2005-09-01 00:00:00.000
Sports Commodities,adventure-works\david8,646-555-0137,d3uGruCihzt7+Dipsh3+fE3iZd/uKCf8sy56xa5chxU=,zmqmiAQ=,2005-09-01 00:00:00.000
Stationary Bikes and Stands,adventure-works\jillian0,138-555-0156,AT0SeSL9gTlDL0/MHFMEy5GrEjR12DBF5ag/cyHZpJY=,l32Vf08=,2005-09-01 00:00:00.000
Specialty Sports Store,adventure-works\jillian0,556-555-0192,2WMJfIzZjrB1xeQtjtSTUQfxxeowOV9LmAjmUkH/qP4=,A+rOrG0=,2006-07-01 00:00:00.000
Rural Department Store,adventure-works\shu0,716-555-0167,ZIXjFmD2T/Gf9bPHIkx7X82eU+I86/8p3rmYxWqwtkQ=,BUBjqIQ=,2007-07-01 00:00:00.000
More Bikes!,adventure-works\linda3,354-555-0130,QFcESEnv3fd3s0KxftaNIRbKv6ba7PNXWLVrlx/mrF4=,WVm7PpY=,2005-09-01 00:00:00.000
Mountain Bike Center,adventure-works\shu0,136-555-0134,Tp1Zre+rOA0pmlkyosHvuAxhbMWt7UcvCPrAYmXyI+w=,GdsdWsk=,2006-08-01 00:00:00.000
Up-To-Date Sports,adventure-works\josé1,979-555-0163,056V7iOc8FPUiLanlyEqQX6cAWuL0TJ8fQBhX7mEjMU=,b96sfSU=,2007-08-01 00:00:00.000
Urban Sports Emporium,adventure-works\josé1,383-555-0111,GZyRS1qyQMxNWXYf0B1uj2nyQjhk4oN+Qv3geEMUy5A=,94SS2WQ=,2006-08-01 00:00:00.000
National Manufacturing,adventure-works\garrett1,493-555-0134,heRwLFQMae6Y0X7+Q7tLrq4gB5sXd8jC7uiIjXlEs6Y=,OHu+9rc=,2005-08-01 00:00:00.000
West Side Mart,adventure-works\jae0,1 (11) 500 555-0120,LDoJwsGCFLtxVdbdQBbN/to7zFF1skP+hWLrIrCxvAw=,NuexV8w=,2007-09-01 00:00:00.000
Travel Sports,adventure-works\pamela0,247-555-0197,DgTXKBbRFAv0jGUCn8yCPgnYQP1JhhVioFj9E1gXCS8=,jcMXc0w=,2007-09-01 00:00:00.000
Vintage Sport Boutique,adventure-works\david8,464-555-0188,dBvr8YSJ5D5BzBQ6uCOKmYVG2wDeIf97H4Jh3ePPYHM=,IS71rL8=,2007-07-01 00:00:00.000
Westside Cycle Store,adventure-works\jillian0,119-555-0144,4QoOmH+4/mabhuXqIQnoVm+1MjvTYyAHid9vpNehSxs=,sA8S2v4=,2005-12-01 00:00:00.000
Town Industries,adventure-works\jillian0,803-555-0116,sbrtAXJY79C5nTfNaktfR5zn9+uSLMSL26NETFSeEas=,UUwXzgY=,2007-09-01 00:00:00.000
Trendy Department Stores,adventure-works\shu0,273-555-0111,HfjBjq3HyrYM/vkKe/z2JUvmTeROuQWy7ntzIG/uTNk=,ke7sTgo=,2007-09-01 00:00:00.000
Two Wheels Cycle Store,adventure-works\linda3,397-555-0144,9HEZAYB77VjHRd83ZDP94/ugDP0PhvUiIRCi3Cl5y7A=,j6Z6ny8=,2005-09-01 00:00:00.000
Security Racks and Locks Wholesalers,adventure-works\shu0,699-555-0183,y3YyySPHg7l+/+LZkIFmyZ7gE+BOIOdPEq+t+oE093g=,4m5UYgM=,2006-08-01 00:00:00.000
Rapid Bikes,adventure-works\josé1,316-555-0138,B2RR480ridZSqURXY3APlxFk13GITW6LDFutGbpSUIs=,5MEUKYU=,2005-09-01 00:00:00.000
Red Bicycle Company,adventure-works\josé1,667-555-0112,hAXpzsxtYdB4R3XMc08m98BwHHvL0+J6J+y0u7B1ngg=,ycYA+jA=,2005-07-01 00:00:00.000
Machines & Cycles Store,adventure-works\garrett1,292-555-0128,61UcbVZnGT5eqxs0oFMv4JyipeaQCUZgUZkPgtVNBDo=,7+I+4k4=,2007-07-01 00:00:00.000
Nearby Sporting Goods,adventure-works\jae0,1 (11) 500 555-0176,XrcuygOte7eGdTleJOKDmf/XBySqc/0xVbjpIPzMWQA=,R273GbA=,2006-08-01 00:00:00.000
Front Sporting Goods,adventure-works\pamela0,119-555-0195,7dnLSdRuWFKBMjmORanIkwGVy3smf5yZI3YxSSyd5/U=,jH5dJh4=,2006-08-01 00:00:00.000
Demand Distributors,adventure-works\david8,799-555-0118,BXs/jMkqmCMJn6V9vWS+iM7P+R0MGu2nmP4SLrJrYCg=,OSnERUk=,2006-06-01 00:00:00.000
Discount Bicycle Specialists,adventure-works\jillian0,426-555-0181,Wkqdm53a0uim7B/e9+IT0I81uzxMNnh1FBaeXd3nyP0=,3tT/ffQ=,2005-11-01 00:00:00.000
Elite Bikes,adventure-works\jillian0,380-555-0116,MO2kc8uiSARHp+gxFShJchORmBfhfAz+NC31TDVciS8=,QXbFwBQ=,2006-09-01 00:00:00.000
Eighth Bike Store,adventure-works\shu0,785-555-0163,qnzSZKGLMJiDzrH9h5VfDojb/pTtQKfZNc7nW7qzQ90=,dPOi278=,2007-08-01 00:00:00.000
Another Sporting Goods Company,adventure-works\linda3,661-555-0168,oDFb9hjhU08th9xeH9bRAY/U7JJTdaLY9NiegJj3vzk=,60Z0AcQ=,2007-08-01 00:00:00.000
Commercial Sporting Goods,adventure-works\shu0,132-555-0150,NRM1BXnt0/4EDaPuM5qday+BOZANEisKCyGGQqJxXpY=,ewV5lII=,2006-09-01 00:00:00.000
Wholesale Parts,adventure-works\josé1,674-555-0187,FJJVccEFyVV8NubSxOFblRtnKqQD221f9AT9xxYTOUA=,8ju6sOA=,2005-08-01 00:00:00.000
Transportation Options,adventure-works\josé1,257-555-0119,muiJ85PHJTw5ocOM+yS+gq+w8REzzCOfzXZNFyDZniI=,lUNnQso=,2005-11-01 00:00:00.000
South Bike Company,adventure-works\garrett1,206-555-0195,o02Imw+gyZX9J1yiTBKYD4M5XlerPqz3usX+v3CsDHA=,PZCGT2g=,2007-08-01 00:00:00.000
Riding Cycles,adventure-works\jae0,1 (11) 500 555-0114,26rwIeR9oyfo+P6lodeASP/MAC2/tdKFbmFVC5uBRmA=,83inWt0=,2007-09-01 00:00:00.000
Raw Materials Inc,adventure-works\pamela0,962-555-0166,mBQHYK00pq9+tDgH7TR6fPrrYQ2drX7/VuuHgkUSOiQ=,MxiyX14=,2005-08-01 00:00:00.000
Latest Sports Equipment,adventure-works\david8,340-555-0131,kOabrc0OqOISR4N3D3FZkOh3yAKQCF/ozSx7G00Kpt0=,jpRF8lY=,2005-07-01 00:00:00.000
Local Hardware Factory,adventure-works\jillian0,221-555-0141,ZZhnNULC5d/7tZv0hUtCl4jKwgyZql8aSrIzlTaTvg0=,hGHOthw=,2006-09-01 00:00:00.000
Lots of Bikes Storehouse,adventure-works\jillian0,494-555-0134,t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=,6ZoXk8E=,2005-11-01 00:00:00.000
Initial Bike Company,adventure-works\shu0,229-555-0114,fftjn+fbjvHFJ4bf7rTpLdlCHv61xF+y0ZPKKevQV98=,OzSaq2k=,2006-09-01 00:00:00.000
Fleet Bikes,adventure-works\linda3,927-555-0198,Vlb2fj7yW2d5JtfPLZvbicsQNEgLhh0b93Uw2pLEBuE=,2cMmc9Y=,2006-08-01 00:00:00.000
Futuristic Bikes,adventure-works\shu0,163-555-0155,NN11OHHxrOm6r8lPyhXuBk13QMD+8tph5PIdJ4t0JmY=,PiILPfc=,2006-09-01 00:00:00.000
Camping and Sports Store,adventure-works\josé1,193-555-0116,GJhY98QoDTRmv/6f6RcLwoj2v33jAZopR8AjLor/sqc=,fYgdeM0=,2007-09-01 00:00:00.000
Corner Bicycle Supply,adventure-works\josé1,180-555-0114,NLAR7H8spiCb/C0qY+3qkJm3VuoSOqDw7yspRc1CTTg=,Whn5BXY=,2005-09-01 00:00:00.000
Metal Processing Company,adventure-works\garrett1,844-555-0112,+CFHIbYlE+nsmSbCpJOTLZXChbtYA9JzdSnd1Qejk5g=,w7ec7iI=,2005-09-01 00:00:00.000
Vigorous Sports Store,adventure-works\jae0,1 (11) 500 555-0178,20rlqqjWOPLBi7oYKBrHMzouHcYl6OknJcV+yc0zQKo=,QS6UTS4=,2006-09-01 00:00:00.000
Sports Merchandise,adventure-works\pamela0,644-555-0111,Eo1pvctUvdkRpUgGHwOfILlh5uZiYuLv+eBXLj1viR8=,LCi+QgQ=,2007-09-01 00:00:00.000
Suburban Cycle Shop,adventure-works\david8,706-555-0140,C7FdyTzpzS44mEsqgDG4s8S3CZJtl+yiy9sH4rEI9VY=,M4cce8o=,2005-08-01 00:00:00.000
Third Bike Store,adventure-works\jillian0,383-555-0117,UsXZ9ElCaZBo0YED9A2khFNGjNK+8yHdxnraI+OHsZ8=,oMeb83g=,2006-09-01 00:00:00.000
Fitness Toy Store,adventure-works\jillian0,351-555-0131,u/IE2VGaycl6iSw+8Es0ro5F6g//TK/eJA3ICMBHXmc=,n+71V7I=,2005-07-01 00:00:00.000
Farthermost Bike Shop,adventure-works\shu0,156-555-0187,9E6RJtJrsu2iqMbyKMJRaVfPipCW5XObegb3KE3K85M=,hiSI26I=,2005-08-01 00:00:00.000
Economy Bikes Company,adventure-works\linda3,688-555-0113,fOnF7T/vMnI6uJzH1IxN9lcM8z31odelgSIW9Vu8sD4=,dz8Ej6A=,2006-09-01 00:00:00.000
Downtown Hotel,adventure-works\shu0,147-555-0192,84meSWqxRT9guwZSihzP3MYe7UV2VaMLBldOf8pTy5A=,lsd099Q=,2005-09-01 00:00:00.000
Certified Sports Supply,adventure-works\josé1,835-555-0116,6eApe0lB1ZkvyJB3Uo3LaYGV8sm2/NE9fUHXM7a0RYU=,M8SoIWU=,2005-09-01 00:00:00.000
Sundry Sporting Goods,adventure-works\josé1,722-555-0169,hynkaEM/LxC86JGG4q4AGgiar6iWoIu5bLVB3gFq2RM=,DUDd/5g=,2005-09-01 00:00:00.000
Toy Manufacturing Inc,adventure-works\garrett1,838-555-0147,OaSaJ/wRTB0DFRe0vMDnhW8BPYsB0r2Stk5dzsBWusI=,G5ADims=,2005-09-01 00:00:00.000
Rampart Amusement Company,adventure-works\jae0,1 (11) 500 555-0193,dI9bbaCIElCUwy2PYLUYLNIrdM9yCcuTmHspqw8Wsxc=,FihOX8w=,2007-08-01 00:00:00.000
Full-Service Bike Store,adventure-works\michael9,264-555-0164,weDREfIdFEInQXlEuUK3AjoRiqGR7g2cJQHBZ1BT5xw=,ggpF1Og=,2005-09-01 00:00:00.000
Family Entertainment Center,adventure-works\pamela0,396-555-0139,A6RveLbS4qIaP/sOesBWwK7KlcShNP0N7DDN2VRWxYk=,vhvGQUE=,2007-08-01 00:00:00.000
Another Bicycle Company,adventure-works\david8,156-555-0126,uzR3iWUJwdMRenhBxExmLfmCRPenWgwazHnSEPDbzb8=,kj/7VTw=,2007-09-01 00:00:00.000
This Area Sporting Goods,adventure-works\jillian0,344-555-0181,3LD/Jab7lP6gIPvK5EdTnwhHBo+dxs3y9GbIgmN6E8Q=,BG6Ps64=,2006-07-01 00:00:00.000
Go-cart and Bike Specialists,adventure-works\jillian0,306-555-0166,viR4W7eY7DDH81eAFhdKTb8Hft5EM8K5CcxdoPdoqgs=,ZcFvFFc=,2006-07-01 00:00:00.000
Weekend Bike Tours,adventure-works\shu0,495-555-0113,Rrgza3uGhmNF9StSEGpXIJ5moVVsmcjhGDjdCAPyMnc=,ekE0M9I=,2007-07-01 00:00:00.000
Thrilling Bike Tours,adventure-works\linda3,789-555-0184,UVTWGfYZBU+ZmXLqhvqZFDwYXdtX14O87KHOHN36XDc=,pI/k4Qw=,2007-09-01 00:00:00.000
Trailblazing Sports,adventure-works\shu0,491-555-0132,XKb/GbNNUPKesifxpBwavz3wz5Y3jbFPJgsBIVEFvO0=,/9h1e7s=,2005-09-01 00:00:00.000
Racing Partners,adventure-works\josé1,371-555-0112,Lk6x4lbbepoCdlNUxLYjn6D3zCWVxEKiK2DwxCURAis=,s7z2FRc=,2007-09-01 00:00:00.000
Non-Slip Pedal Company,adventure-works\josé1,303-555-0117,d8QmW8XwLDvVvz9RYBNkv59Snnfp3tdnQQ/IZ0UEV9U=,FccEr0Q=,2005-08-01 00:00:00.000
Nuts and Bolts Mfg.,adventure-works\garrett1,117-555-0173,iwlZhoYS98IRDbB9ps/YqC5ITCR+AZm5L+5g5nqHzE4=,okCr0j4=,2005-08-01 00:00:00.000
Exhibition Showroom,adventure-works\jae0,1 (11) 500 555-0126,qUddcyDDhMORzm2Tp3YcC3vD7dXKgTEDtTorjPbhbmk=,C2IP7to=,2007-07-01 00:00:00.000
"Fabrikam Inc., West",adventure-works\michael9,224-555-0126,IQvtwGrIwRDX9ZHmv+WXAmqiXokkD7MT/x8ZdSBArjo=,6xHx1mQ=,2006-09-01 00:00:00.000
Field Trip Inc,adventure-works\michael9,528-555-0183,FnBp23EtjoS2hj7nCcr9a76vZjNvQ+/WT/5vyYyKG5o=,TYGH50Q=,2005-11-01 00:00:00.000
Authorized Bike Sales and Rental,adventure-works\pamela0,947-555-0143,LoVploOms9pM4zQpIHQdGFLraQGd2ZtmlhGCKz8RxZk=,1PXmt4Y=,2007-08-01 00:00:00.000
Basic Bike Company,adventure-works\david8,170-555-0189,C4CbjWP+J+L/5D9jekqIDsijBR8VvJlpu7IxqSE3ckI=,GR7idhc=,2005-07-01 00:00:00.000
Unsurpassed Bikes,adventure-works\jillian0,789-555-0189,POpWTovMrdUJmLS24NDBdrrY5tasoVlQod5uB56k4YM=,Jx6w2tk=,2007-09-01 00:00:00.000
Two-Seater Bikes,adventure-works\jillian0,645-555-0193,M2iP88O+gIF88E9NpBhI0baOUusaGXrum+clJ/miHO8=,6UypM3o=,2007-09-01 00:00:00.000
Separate Parts Corporation,adventure-works\shu0,207-555-0129,Fz+NYcaaq3h6DqGHlfln+rg8Acm2x1ZGxvEayxBvctA=,RqNfsHY=,2005-07-01 00:00:00.000
Traction Tire Company,adventure-works\linda3,973-555-0112,miuh5Po0s3jNnKrMwmuROEApoKFRWumb1K1EMP0hGB0=,TLqFgK0=,2005-07-01 00:00:00.000
Rally Master Company Inc,adventure-works\shu0,171-555-0147,om5PZqKM1Q45cWiYPIrXl/Aae/JkbppbhDiC35ExpI8=,6YiQ2V8=,2007-07-01 00:00:00.000
Professional Cyclists,adventure-works\josé1,154-555-0115,yFi3yGOATh6SBDVcA2+76Fx57aewXlckixsLIK6rBQ8=,WWk6sxA=,2005-08-01 00:00:00.000
Purple Bicycle Company,adventure-works\josé1,595-555-0131,P7kS2qmv24u6DHt3T4KoKJ6+3pJpWEoMKQZVPpaRlmo=,c0oPTcw=,2005-08-01 00:00:00.000
Gasless Cycle Shop,adventure-works\garrett1,584-555-0192,bskaXdzyt3OUpHetBO/IcD+SDhG5EyMDjtlYBlgd5JM=,m3KdhOo=,2005-08-01 00:00:00.000
Exclusive Bicycle Mart,adventure-works\jae0,1 (11) 500 555-0175,7Rt3EiYjLXevQHTKMCMAavZEDngeIlBpAJZwplBW0G0=,M6OjY4Y=,2006-08-01 00:00:00.000
City Manufacturing,adventure-works\pamela0,642-555-0187,ixajZho2s3ev/ogNQ9FUe1TyfA9yX1aEVWDOy/mdUAU=,k3iiros=,2006-11-01 00:00:00.000
Sure & Reliable Sporting Goods,adventure-works\david8,476-555-0139,tw+fIchafvuaOuwyEXmlXbPr9Vt3EILylHlmwfm6Gig=,0fgKxF4=,2005-08-01 00:00:00.000
Extras Sporting Goods,adventure-works\jillian0,320-555-0134,TGnRB6vDbV0LZss8tA9iu637/34mcJWkD0Ux4xaza/k=,2t9hMlk=,2007-03-01 00:00:00.000
Best o' Bikes,adventure-works\jillian0,575-555-0189,WdS3xcgtqW4nnV7dyZ17PmiMPZ5vKs5whm3ANBVQ1sQ=,mQK+bIw=,2007-07-01 00:00:00.000
Bike Dealers Association,adventure-works\shu0,993-555-0179,iPjYe483dSgp0POtxsJVNCcegR3PdCK33L1Elr6F14w=,CqQEYuw=,2005-07-01 00:00:00.000
Sample Bike Store,adventure-works\linda3,858-555-0140,lepgCpcuzDRNfqPaAgUacRzPVGGXHwiRm7wwJ4cNgBs=,lkPNcdI=,2005-09-01 00:00:00.000
Paints and Solvents Company,adventure-works\shu0,458-555-0179,HdGP+FhhGf8dYBcwT4pIsPs6mdixGxg1UVN0kMtW2Jk=,XdEyqf4=,2007-09-01 00:00:00.000
Leisure Activities,adventure-works\josé1,103-555-0151,SjhcbJpcpaWw4QjUCmjWLcY825LVBVxAVlKUVRGVC/0=,Tb+oJnk=,2006-08-01 00:00:00.000
"Health Spa, Limited",adventure-works\josé1,431-555-0153,fLh6z9dFddA6FLXlQVHhI5C9QbgD7gDHv63wFwwLzx8=,OtAJEtc=,2005-07-01 00:00:00.000
Home Town Bike Store,adventure-works\garrett1,356-555-0190,b0w+/GVSsenvVoXksIyrBh+BGRKEIsId9aOsMDCOZi8=,W1IKTDo=,2007-09-01 00:00:00.000
